priority_rank,exchange,venue_name,country,current_status,tickers,missing_isin,missing_sector_or_category,unresolved_findings,official_source_count,reference_scopes,candidate_key,candidate_scope,provider,asset_types,expected_format,source_url,implementation_status,priority,review_needed,blocker,notes
55,CSE_MA,Casablanca Stock Exchange,Morocco,official_full,66,0,64,5,1,exchange_directory,cse_ma_listed_companies,exchange_directory_candidate,Casablanca Stock Exchange,Stock,cse_ma_listed_companies_json,https://www.casablanca-bourse.com/en/marche-cash/instruments-actions,implemented,medium,false,implemented via official Casablanca Bourse Next.js/JSONAPI active equity instrument collection,"The official Casablanca Bourse active instrument page exposes a JSONAPI collection with symbol, ISIN, issuer, and instrument URL for active class-code 1 stock rows. Sector labels still need a separate official taxonomy path."
56,ISE,Euronext Dublin,Ireland,official_full,14,0,1,5,1,exchange_directory,euronext_dublin_equities,exchange_directory_candidate,Euronext,Stock|ETF,euronext_equities_semicolon_csv,https://live.euronext.com/en/pd_es/data/stocks/download?mics=XDUB,implemented,medium,false,reconciled through existing Euronext all-stock feed,Euronext Dublin rows are present in the existing Euronext all-stock feed and now map to the ISE bucket.
57,NSE_KE,Nairobi Securities Exchange,Kenya,official_full,46,0,33,1,1,exchange_directory,nse_ke_listed_companies,listed_companies_candidate,NSE Kenya,Stock|ETF,nse_ke_listed_companies_html,https://www.nse.co.ke/listed-companies/,implemented,medium,false,implemented via official NSE Kenya WordPress listed-companies content,"The official listed-companies page exposes symbol and ISIN per company, grouped by NSE local sector sections; clear local sectors are conservatively mapped to the database sector taxonomy."
58,ADX,Abu Dhabi Securities Exchange,United Arab Emirates,official_full,0,0,0,0,1,exchange_directory,adx_market_watch,global_expansion_candidate,ADX,Stock|ETF,adx_market_watch_json,https://www.adx.ae/english/pages/marketwatch.aspx,implemented,medium,false,implemented as official source; not yet imported into the current primary exchange universe,"Uses the official ADX API gateway issuer directory plus main-market, growth-market, ETF, and symbol-sector boards. Dual-listed and warrant boards are excluded from the primary source rows."
59,BHB,Bahrain Bourse,Bahrain,official_full,0,0,0,0,1,exchange_directory,bahrain_bourse_listed_companies,global_expansion_candidate,Bahrain Bourse,Stock|ETF,bahrain_bourse_isin_codes_html,https://bahrainbourse.com/en/Bahrain%20Clear/ISINCodes,implemented,medium,false,implemented as official source; still outside the current primary exchange universe until listing-key-first/global expansion imports BHB rows,The official Bahrain Bourse ISIN table is SharePoint-backed. Parser keeps local Equities plus Bahrain Investment Market rows and excludes non-Bahrain cross-listings and Bonds/Sukuk.
60,BK,Boursa Kuwait,Kuwait,official_full,0,0,0,0,1,exchange_directory,boursa_kuwait_stocks,global_expansion_candidate,Boursa Kuwait,Stock|ETF,boursa_kuwait_legacy_mix_json,https://www.boursakuwait.com.kw/en/securities/main-market/overview---main-market/,implemented,medium,false,implemented via official Boursa Kuwait legacy market-data API; still outside the current primary exchange universe until listing-key-first/global expansion imports BK rows,"The official Gatsby page loads /data-api/legacy-mix-services. Parser keeps regular Premier/Main market listings and the REIT market row with valid ISINs, excluding buy-in duplicate rows."
61,DFM,Dubai Financial Market,United Arab Emirates,official_full,0,0,0,0,1,exchange_directory,dfm_listed_securities,global_expansion_candidate,DFM,Stock|ETF,dfm_listed_securities_json,https://www.dfm.ae/issuers/listed-securities/company-profile-page,implemented,medium,false,implemented for DFM market rows via official DFM stocks API plus company profile endpoint; Nasdaq Dubai rows from the same API are intentionally not imported under DFM until NASDAQ_DUBAI is modeled separately,"The official DFM stocks endpoint exposes tradeable symbols and market codes; companyprofile returns market, instrument type, full name, ISIN, and sector. Parser keeps only DFM-market equities, REITs, and ETFs with valid ISINs."
62,MSX,Muscat Stock Exchange,Oman,official_full,0,0,0,0,1,exchange_directory,muscat_securities_companies,global_expansion_candidate,MSX,Stock|ETF,msx_companies_json,https://www.msx.om/companies.aspx,implemented,medium,false,implemented via official MSX companies.aspx/List API; still outside the current primary exchange universe until listing-key-first/global expansion imports MSX rows,"The official MSX companies API exposes symbol, company name, listing state, sector, and subsector. Parser keeps active regular stock rows and excludes rights and bond-like sectors; the source does not expose ISIN, so a separate CSD/security registry remains needed before complete core import."
63,NZX,New Zealand Exchange,New Zealand,official_full,0,0,0,0,1,exchange_directory,nzx_instruments,global_expansion_candidate,NZX,Stock|ETF,html_or_api,https://new.nzx.com/markets/NZSX,implemented,medium,false,implemented via official NZX NZSX market page Next.js payload; still outside the current primary exchange universe until the listing-key-first expansion imports NZX rows,"The official NZX market page embeds active instruments with code, name, ISIN, market, and category. Parser conservatively keeps NZSX share/unit rows and maps ETF units to ETF categories while excluding NZDX bonds and NZCX derivatives."
64,QSE,Qatar Stock Exchange,Qatar,official_full,0,0,0,0,1,exchange_directory,qse_market_watch,global_expansion_candidate,QSE,Stock|ETF,qse_market_watch_json,https://www.qe.com.qa/wp/mw/data/MarketWatch.txt,implemented,medium,false,"implemented via official QSE MarketWatch text feed; the reachable official company/profile feeds do not expose ISIN, so this source must not be promoted into core without a separate QSE ISIN registry","Parser keeps QSE stock, venture, and ETF rows from the official MarketWatch feed, excludes bond/sukuk/T-bill rows, and maps clear QSE sector labels to canonical stock sectors or ETF categories."
65,CSE_LK,Colombo Stock Exchange,Sri Lanka,official_full,0,0,0,0,1,exchange_directory,cse_lk_company_info_summary,listed_companies_candidate,CSE Sri Lanka,Stock,cse_lk_company_info_summary_json,https://www.cse.lk/api/companyInfoSummery,implemented,low,false,implemented via official CSE Sri Lanka all-security-code directory plus companyInfoSummery detail API; dataset import remains gated until a reliable stock-sector taxonomy path is available,"Official CSE Sri Lanka APIs expose active security codes, issuer names, and ISINs for most active securities. The detail parser writes audited reference.csv rows but does not automatically add the venue to core tickers because sector classification is not exposed by the reachable detail endpoint."
