listing_key,ticker,exchange,current_name,twelvedata_name,validation_status,recommended_next_action,rejection_reason,review_batch
OTC::EBBGF,EBBGF,OTC,Enbridge Inc,Enbridge Inc. Preferred Stock 6.7037% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::FBBPF,FBBPF,OTC,FIBRA Prologis,Prologis Property Mexico S.A. de C.V.,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::AEI,AEI,NASDAQ,Alset Ehome International Inc,Alset Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::CLMT,CLMT,NASDAQ,Calumet Specialty Products Partners,"Calumet, Inc.",conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::CNOBP,CNOBP,NASDAQ,ConnectOne Bancorp Inc,"ConnectOne Bancorp, Inc. 5.25% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::DCOY,DCOY,NASDAQ,Decoy Therapeutics Inc.,"Salarius Pharmaceuticals, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::NTES,NTES,NASDAQ,NetEase Inc,"NetEase, Inc. American Depositary Receipt",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::NTRA,NTRA,NASDAQ,Natera Inc,NATERA INC (Common Stock) – ticker 45E,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::STAK,STAK,NASDAQ,STAK Inc. Ordinary Shares,Stak Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::TOYO,TOYO,NASDAQ,"TOYO Co., Ltd Ordinary Shares","Toyo Co., Ltd.",conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
OTC::BBCMF,BBCMF,OTC,LIR Life Sciences Corp.,Blackbird Critical Metals Co.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::BRPSF,BRPSF,OTC,BROOKFIELD Corp /ON/,BRPSF,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::BSNLF,BSNLF,OTC,Blue Star Helium Ltd,Antares Energy Limited,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::EBGEF,EBGEF,OTC,Enbridge Inc,Enbridge Inc. 6.683% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::ENBFF,ENBFF,OTC,Enbridge Inc,Enbridge Inc. Preferred Stock 2.983% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::ENBRF,ENBRF,OTC,Enbridge Inc.,Enbridge Inc. Preferred Stock 5.988% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::SOHGY,SOHGY,OTC,ALSOK Co Ltd./ADR,"Sohgo Security Services Co., Ltd. ADR",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::VTCHF,VTCHF,OTC,VTCHF,VERTICALSCOPE HLDGS INC,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::BHFAO,BHFAO,NASDAQ,Brighthouse Financial Inc,"Brighthouse Financial, Inc. 6.75% Non-Cumulative Preferred Stock, Series B, Depositary Shares (1/1,000th Per Share)",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::NTRSO,NTRSO,NASDAQ,Northern Trust Corporation,"Northern Trust Corporation 4.70% Non-Cumulative Perpetual Preferred Stock, Series E",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::PLDGP,PLDGP,OTC,Prologis Inc,Prologis Inc. 8.54% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::BRR,BRR,NASDAQ,"ProCap Financial, Inc.",Columbus Circle Capital Corp I,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::HYFT,HYFT,NASDAQ,MindWalk Holdings Corp.,ImmunoPrecise Antibodies Ltd.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
OTC::LIFX,LIFX,OTC,Life360 Inc,"Life360, Inc. Chess Depositary Interests",ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::GAERF,GAERF,OTC,Central North Airport Group,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::BLNE,BLNE,NASDAQ,"Beeline Holdings, Inc.",Eastside Distilling Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::SLTTF,SLTTF,OTC,Slate Office REIT,Ravelin Properties Real Estate Investment Trust,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NYSE::ICL,ICL,NYSE,ICL Israel Chemicals Ltd,ICL Group Ltd.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NYSE::SLAI,SLAI,NYSE,SOLAI Limited,SOLAI Limited Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::SONY,SONY,NYSE,Sony Group Corp,Sony Group Corporation - Sponsored American Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::KPLUF,KPLUF,OTC,K&S AG,K+S Aktiengesellschaft,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::PSKOF,PSKOF,OTC,Polski Koncern Naftowy ORLEN Spólka Akcyjna,ORLEN S.A.,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::ZMTBY,ZMTBY,OTC,Zumtobel Group AG,Zumtobel Group AG Unsponsored ADR (Each representing 0.5 Ordinary Share),provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::TRSNF,TRSNF,OTC,TRANSENER S A,Compañía de Transporte de Energía Eléctrica en Alta Tensión S.A.,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::LITS,LITS,NASDAQ,"Lite Strategy, Inc.","MEI Pharma, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::ENBGF,ENBGF,OTC,Enbridge Inc,Enbridge Inc. Preferred Stock 5.5% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::APRE,APRE,NASDAQ,Aprea Therapeutics Inc,Clear Creek Independent School District,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::HIND,HIND,NASDAQ,"Vyome Holdings, Inc.","ReShape Lifesciences, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::KSPI,KSPI,NASDAQ,Joint Stock Company Kaspi.kz,JSC Kaspi.kz American Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::WETO,WETO,NASDAQ,Wetour Robotics Limited,Webus International Ltd,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::GJS,GJS,NYSE,STRATSSM Certificates series supplement 2006-2 Trust IC,STRATS 0.9% Preferred Stock due 02/15/2033,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::SOJD,SOJD,NYSE,Southern Co,Southern Company 4.95% Preferred Stock,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::AMCX,AMCX,NASDAQ,AMC Global Media Inc.,AMC Networks Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
OTC::FMCKI,FMCKI,OTC,Federal Hme 6.55 Pf,Freddie Mac Preferred Stock 6.55% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::RYM,RYM,NASDAQ,"RYTHM, Inc.",Agrify Corporation,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::SOHU,SOHU,NASDAQ,Sohu.Com Inc,Sohu.com Limited American Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::GJT,GJT,NYSE,STRATS SM Trust for Allstate Corp Securities Series 2006-3 IC,STRATS Preferred Stock 5.72678% Due 04/01/36,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::BEIGF,BEIGF,OTC,BeOne Medicines Ltd.,BeiGene Ltd.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::AGNCL,AGNCL,NASDAQ,AGNC Investment Corp,AGNC Investment Corp. 7.75% Series B Cumulative Redeemable Preferred Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::CCLDO,CCLDO,NASDAQ,CareCloud Inc.,CareCloud Inc. 8.75% Perpetual Preferred Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::EMBJ,EMBJ,NYSE,Embraer S.A.,Embraer S.A. Sponsored American Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::ABTC,ABTC,NASDAQ,American Bitcoin Corp,"Gryphon Digital Mining, Inc",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::FUFU,FUFU,NASDAQ,BitFuFu Inc. Class A Ordinary Shares,Bitfufu Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::TGHL,TGHL,NASDAQ,The GrowHub Limited Class A Ordinary Shares,The GrowHub Limited,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::YDKG,YDKG,NASDAQ,Yueda Digital Holding,AirNet Technology Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::WEJTY,WEJTY,OTC,WEB TRAVEL GROUP LTD,Webjet Limited - Unsponsored ADR,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::HBANP,HBANP,NASDAQ,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated 4.5% Series H Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::ATKR,ATKR,NYSE,Atkore International Group Inc,Atkore Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NYSE::DVA,DVA,NYSE,DaVita HealthCare Partners Inc,DaVita Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NYSE::XPO,XPO,NYSE,XPO Logistics Inc,"XPO, Inc.",conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::FITBP,FITBP,NASDAQ,Fifth Third Bancorp,"Fifth Third Bancorp 6.00% Non-Cumulative Perpetual Class B Preferred Stock, Series A",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::CMSA,CMSA,NYSE,CMS Energy Corp,CMS Energy Corp. Preferred Stock 5.625% 03/15/2078,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::MSBIP,MSBIP,NASDAQ,Midland States Bancorp Inc,"Midland States Bancorp, Inc. 7.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::ANGI,ANGI,NASDAQ,ANGI Homeservices Inc,Angi Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::IBIO,IBIO,NASDAQ,"iBio, Inc. Common Stock","iBio, Inc.",conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::FWONA,FWONA,NASDAQ,Liberty Media Corporation Series A Liberty Formula One Common Stock,Liberty Media Corporation,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::AGRZ,AGRZ,NASDAQ,Agroz Inc. Ordinary Shares,Agroz Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::GAUZ,GAUZ,NASDAQ,Gauzy Ltd. Ordinary Shares,Gauzy Ltd.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::LIN,LIN,NASDAQ,Linde plc Ordinary Shares,Linde plc,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
OTC::BOMBF,BOMBF,OTC,Bombardier Inc,Bombardier Inc. Preferred Stock 4.588% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::FANUY,FANUY,OTC,Fanuc Corporation,Fanuc Corporation Unsponsored ADR,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::QGRSF,QGRSF,OTC,Q2 Gold Resources Inc,Q2 Metals Corp.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::STEAF,STEAF,OTC,SM ENTMT JAPAN CO LTD,Stream Media Corp,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::NWS,NWS,NASDAQ,News Corp B,News Corporation Class B Common Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::CIB,CIB,NYSE,Grupo Cibest S.A.,Bancolombia S.A.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::TRATY,TRATY,OTC,Traton SE,Traton SE Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::SBBSF,SBBSF,OTC,ALPHA INTEGRATED REIT,Sabana Industrial Real Estate Investment Trust,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NYSE::GE,GE,NYSE,GE Aerospace,General Electric Company,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::CITAY,CITAY,OTC,COSCO SHIPPING Development Co. Ltd,"China Shipping Container Lines Co., Ltd. Unsponsored ADR",ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::YSXT,YSXT,NASDAQ,"YSX Tech. Co., Ltd Class A Ordinary Shares",Ysxt Tech Co. Ltd.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
OTC::TEZNY,TEZNY,OTC,Terna Rete Elettrica Nazionale,Terna S.p.A.,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::MPZAY,MPZAY,OTC,MIPS AB (publ),Mips AB American Depositary Shares,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::NMTAY,NMTAY,OTC,Neometals Ltd,Neometals Ltd. American Depositary Receipt,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::TEUCF,TEUCF,OTC,Box Ships Inc,Box Ships Inc. 9% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::NBTX,NBTX,NASDAQ,Nanobiotix,Nanobiotix S.A. American Depositary Shares,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::CWYUF,CWYUF,OTC,Smart REIT,SmartCentres Real Estate Investment Trust,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::CURR,CURR,NASDAQ,Currenc Group Inc. Ordinary Shares,Cure Pharmaceutical Holding Corp.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::LBRDP,LBRDP,NASDAQ,Liberty Broadband Corp,Liberty Broadband Corporation 7.00% Series A Cumulative Redeemable Preferred Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::FCRX,FCRX,NYSE,First Eagle Alternative Capital BDC Inc,Crescent Capital BDC Inc. Preferred Stock 5.00%,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::ALLT,ALLT,NASDAQ,Allot Communications Ltd,Allot Ltd.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::ANNA,ANNA,NASDAQ,"AleAnna, Inc. Class A Common Stock",Aleanna Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::DDOG,DDOG,NASDAQ,Datadog Inc,"Datadog, Inc. Class A Common Stock",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::DKI,DKI,NASDAQ,DarkIris Inc. Class A Ordinary Shares,DarkIris Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::EHGO,EHGO,NASDAQ,Eshallgo Inc. Class A Ordinary Shares,Eshallgo Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::EPOW,EPOW,NASDAQ,E-Power Inc.,Sunrise New Energy Co. Ltd.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::LGN,LGN,NASDAQ,Legence Corp. Class A Common stock,Legence Corp.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::MDLN,MDLN,NASDAQ,Medline Inc. Class A Common Stock,Medline Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::NOMA,NOMA,NASDAQ,NOMADAR Corp. Class A Common Stock,Nomadar Corp.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::ZURA,ZURA,NASDAQ,Zura Bio Limited Class A Ordinary Shares,Zura Bio Ltd.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NYSE::IOT,IOT,NYSE,Samsara Inc,Samsara Inc. Class A Common Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::SGHC,SGHC,NYSE,SGHC Limited,Super Group (SGHC) Limited,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
OTC::ELCPF,ELCPF,OTC,EDP - Energias de Portugal S.A,"EDP, S.A.",provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::KLSVD,KLSVD,OTC,KLSVD,Klondike Silver Corp.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::MNESP,MNESP,OTC,MSA Safety Incorporated,MSA Safety Inc. Preferred Stock 4.5% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::PLYFD,PLYFD,OTC,PLYFD,Playfair Mining Ltd.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::THGHY,THGHY,OTC,THG Plc,THG Holdings plc,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::FTRSF,FTRSF,OTC,Fortis Inc. CUM RD 5Y SR G,Fortis Inc. Preferred Stock 6.123% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::FLMNY,FLMNY,OTC,Fielmann Aktiengesellschaft,Fielmann AG Sponsored ADR,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::GIFOF,GIFOF,OTC,Grifols S.A,Grifols SA PRF Perpetual EUR 0.05 - Class B,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::NEMCL,NEMCL,OTC,NEWMONT Corp /DE/,Newmont Corporation - Depositary Receipt (Common Stock),second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::FITBO,FITBO,NASDAQ,Fifth Third Bancorp,"Fifth Third Bancorp 4.95% Non-Cumulative Perpetual Preferred Stock, Series K",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::MFAN,MFAN,NYSE,"MFA Financial, Inc. 8.875%",MFA 8.875% Preferred Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::CUYTY,CUYTY,OTC,Etablissementen Franz Colruyt NV ADR,Colruyt S.A.,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::PREJF,PREJF,OTC,PartnerRe Ltd.,PartnerRe Ltd. Preferred 4.875% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::SKIN,SKIN,NASDAQ,SkinHealth Systems Inc.,The Beauty Health Company,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::FNCDY,FNCDY,OTC,Covivio,Covivio S.A. - Unsponsored ADR,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::ASST,ASST,NASDAQ,Strive Asset Management,"Strive, Inc.",conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NYSE::DTB,DTB,NYSE,DTE Energy Company 2020 Series,DTE Energy Co. Preferred Stock 4.375% Due 10/15/2080,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::MNRO,MNRO,NASDAQ,Monro Muffler Brake Inc,"Monro, Inc.",conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::TOUR,TOUR,NASDAQ,Tuniu Corp,Tuniu Corporation Sponsored ADR,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
