ticker,exchange,alias,reason,confidence
MCS,NYSE,mcchip resources,Cross-company collision flagged; unrelated to Marcus Corporation.,0.82
MD,NYSE,midland exploration,Cross-company collision; refers to a Canadian mining company unrelated to Mednax.,0.82
MED,NYSE,medartis holding,Medartis Holding is a Swiss medical technology company; the CH ISIN in this entry may belong to them rather than Medifast.,0.85
MED,NYSE,medco,"Medco could refer to multiple unrelated companies (Indonesian energy, US pharmacy); no connection to Medifast.",0.85
MED,NYSE,mediclin aktiengesellschaft,MediClin AG is a German hospital operator; unrelated to Medifast.,0.85
MEG,NYSE,megado minerals,Megado Minerals is an unrelated mining company; shares only prefix similarity with MEG.,0.83
MEG,NYSE,megaron,Megaron is a Greek cultural center; entirely unrelated to Montrose Environmental.,0.83
MEG,NYSE,megaworld,Megaworld Corporation is a Philippine real estate developer; unrelated.,0.83
MEI,NYSE,meteoric resources nl,Meteoric Resources NL is a distinct Australian company (ASX: MEI); unrelated to Methode Electronics Inc. The AU ISIN on this entry likely belongs to Meteoric Resources.,0.8
MER,LSE,manila electric,Manila Electric Company (Meralco) is a Philippine utility; unrelated to Mears Group plc.,0.85
MER,LSE,meralco,Meralco is the brand name for Manila Electric Company; entirely unrelated to Mears Group plc.,0.85
MER,LSE,meren energy,Meren Energy is an unrelated company; no connection to Mears Group.,0.85
MERC,NASDAQ,mercedes-benz group,Cross-company collision with a major German automaker; completely unrelated to Mercer International.,0.8
MERC,NASDAQ,mercia technologies,UK tech company; no connection to Mercer International Inc.,0.8
MG,NYSE,magna international,"Cross-company collision; Magna International trades as MGA on NYSE, not MG.",0.8
MG,NYSE,millennium global,Weak overlap and unrelated to Mistras Group; likely a different company sharing the MG ticker.,0.8
MGA,NYSE,mega uranium,Cross-company collision; Australian uranium company unrelated to Magna International.,0.85
MGA,NYSE,metalsgrove mining,Australian mining company; no connection to Magna International.,0.85
MNC,WSE,magnetic north acquisition,Cross-company collision; Canadian mining company unrelated to Mennica Polska.,0.83
MNC,WSE,merino &,Truncated/incomplete alias with no clear connection to Mennica Polska.,0.83
MRC,LSE,mercator medical,Yahoo alias verification marked `mercator medical` as likely_other_entity.,
MST,NYSE,maybank securities,Yahoo alias verification marked `maybank securities` as likely_other_entity.,
MST,NYSE,mustek,Yahoo alias verification marked `mustek` as likely_other_entity.,
MTB,NYSE,montebalito,Cross-company collision; Spanish/Australian company unrelated to M&T Bank.,0.85
MTB,NYSE,mount burgess mining nl,Australian mining company sharing the MTB ticker on ASX; unrelated to M&T Bank Corporation.,0.85
MTE,LSE,micron,Short form of Micron Technology; unrelated to this UK investment trust.,0.82
MTE,LSE,micron technology,Micron Technology is a US semiconductor company (NASDAQ:MU); entirely unrelated to Montanaro European Smaller Companies Trust.,0.82
MTS,BME,metallis resources,"Cross-company collision; Australian mining company sharing MTS on ASX, unrelated to ArcelorMittal.",0.8
MTS,BME,metcash,Australian retail/wholesale company; no connection to ArcelorMittal.,0.8
MUR,NYSE,murapol,Polish real estate developer; no connection to Murphy Oil Corporation.,0.83
MUR,NYSE,murchison minerals,"Cross-company collision; Canadian mining company sharing MUR ticker, unrelated to Murphy Oil.",0.83
NAS,LSE,norwegian air shuttle a,"Norwegian Air Shuttle trades as NAS on Oslo Stock Exchange, not LSE. Completely different company and exchange.",0.8
NCL,NYSE MKT,ncl international logistics public,Yahoo alias verification marked `ncl international logistics public` as likely_other_entity.,
NCL,NYSE MKT,noctiluca,Yahoo alias verification marked `noctiluca` as likely_other_entity.,
NED,TSXV,nedbank,Nedbank is a major South African bank listed on JSE as NED. Entirely unrelated to New Destiny Mining Corp on TSXV.,0.8
NET,NYSE,netcall,"Refers to Netcall plc (LSE:NET), a distinct UK company; cross-company collision confirmed by findings.",0.85
NET,NYSE,netlinkz,"Refers to NetLinkz Limited, a distinct Australian company; unrelated to Cloudflare.",0.85
NETZ,NASDAQ,carbon streaming,Current NETZ row is an ETF; Carbon Streaming is an unrelated issuer alias contamination.,0.95
NEU,NYSE,neuca,"Refers to NEUCA S.A., a distinct Polish pharmaceutical distributor; unrelated to NewMarket Corporation.",0.82
NEU,NYSE,neuren pharmaceuticals,"Refers to Neuren Pharmaceuticals, a distinct Australian company; cross-company collision confirmed by findings.",0.82
NOBL,BATS,noble plains uranium,Noble Plains Uranium is a distinct mining company unrelated to ProShares S&P 500 Dividend Aristocrats ETF.,0.88
NOS,Euronext,premier investments,"Premier Investments is an unrelated Australian retail company. No connection to NOS S.G.P.S., a Portuguese telecom.",0.82
NTG,XETRA,nordic technology group,Different company using NTG ticker; unrelated to Nabaltec AG.,0.8
NTG,XETRA,ntg nordic transport group,Danish logistics company; different NTG ticker on a different exchange.,0.8
NTG,XETRA,tortoise midstream energy,US closed-end fund; completely unrelated to Nabaltec AG.,0.8
NTLA,NASDAQ,gene editing,Generic industry/technology category term shared across multiple companies; not a name or identifier for Intellia Therapeutics specifically,0.88
NXT,NASDAQ,nextdc,"Refers to NEXTDC Limited (ASX:NXT), a distinct Australian data centre company; cross-company collision confirmed by findings.",0.82
NXT,NASDAQ,nueva expresión textil,Refers to a distinct Spanish textile company; no relation to Nextracker Inc.,0.82
OGN,NYSE,organon &,Truncated and malformed variant of the name; superseded by the complete alias 'organon & co'.,0.83
OGN,NYSE,origin enterprises,"Refers to Origin Enterprises plc, a distinct Irish agribusiness; cross-company collision confirmed by findings.",0.83
OGN,NYSE,orogen royalties,"Refers to Orogen Royalties Inc., a distinct Canadian mining company; unrelated to Organon & Co.",0.83
OPM,Euronext,opteam,Yahoo alias verification marked `opteam` as likely_other_entity.,
OPM,Euronext,plastic omnium,Yahoo alias verification marked `plastic omnium` as likely_other_entity.,
PAL,NASDAQ,palfinger,Yahoo alias verification marked `palfinger` as likely_other_entity.,
PAL,NASDAQ,pantaflix,Yahoo alias verification marked `pantaflix` as likely_other_entity.,
PAY,NYSE,paypoint,"Refers to PayPoint plc (LSE), a distinct UK company; weak overlap flagged by findings.",0.83
PAY,NYSE,payton planar magnetics,"Refers to Payton Planar Magnetics Ltd., a distinct Israeli company; cross-company collision confirmed by findings.",0.83
PDD,NASDAQ,temu,"Temu is a consumer product/brand owned by PDD Holdings, not an identifier for the issuer itself.",0.85
PIM,NYSE,pinnacle minerals,Unrelated company; no lexical connection to Putnam Master Intermediate Income Trust.,0.8
PIM,NYSE,plastic industry,Generic unrelated term with no connection to this fund.,0.8
PIM,NYSE,popular islamic modaraba,Unrelated Pakistani financial entity; shares only initials with fund name.,0.8
PIN,NYSE ARCA,pantheon international,UK-listed investment company; unrelated to Invesco India ETF.,0.85
PIN,NYSE ARCA,pinthong industrial park public,Thai SET-listed company; unrelated to this ETF.,0.85
PIN,NYSE ARCA,purpose monthly income fund,Canadian fund unrelated to Invesco India ETF.,0.85
PKO,WSE,peako,Peako is an Australian mining company; unrelated to PKO Bank Polski.,0.8
PLUS,NASDAQ,294268,Numeric identifier with no clear link to ePlus; likely belongs to a different instrument.,0.8
PLUS,NASDAQ,digiplus interactive,Filipino gaming company; unrelated to ePlus inc.,0.8
PLUS,NASDAQ,plus500,Separate UK-listed CFD broker; shares only a word fragment with ePlus.,0.8
PLUS,NASDAQ,royal plus,Unrelated company; no connection to ePlus inc.,0.8
PMT,NYSE,patriot battery metals,Patriot Battery Metals is a separate Canadian mining company (PMET on TSX); unrelated to PennyMac Mortgage Investment Trust.,0.82
PNL,LSE,postnl,PostNL is a Dutch postal/logistics company listed on Euronext Amsterdam; entirely unrelated to this UK investment trust.,0.85
POW,NYSE ARCA,petrovietnam power,Current POW row is an ETF; Petrovietnam Power is an unrelated issuer alias contamination.,0.96
POW,NYSE ARCA,power corporation of canada,Current POW row is an ETF; Power Corporation of Canada is an unrelated issuer alias contamination.,0.96
POW,NYSE ARCA,power metal resources,Current POW row is an ETF; Power Metal Resources is an unrelated issuer alias contamination.,0.96
PPH,NASDAQ,pepkor,South African retailer; unrelated to VanEck Pharmaceutical ETF.,0.8
PPH,NASDAQ,perma-pipe,Unrelated industrial piping company sharing a ticker variant.,0.8
PPH,NASDAQ,pphe hotel,UK-listed hotel group sharing PPH initials; unrelated to this ETF.,0.8
PPP,TSXV,premier products public,Yahoo alias verification marked `premier products public` as likely_other_entity.,
PPS,WSE,praemium,Yahoo alias verification marked `praemium` as likely_other_entity.,
PPS,WSE,project planning service public,Yahoo alias verification marked `project planning service public` as likely_other_entity.,
PRE,NASDAQ,pensana rare earths,Yahoo alias verification marked `pensana rare earths` as likely_other_entity.,
PRE,NASDAQ,prestige estates projects,Yahoo alias verification marked `prestige estates projects` as likely_other_entity.,
PRG,NYSE,precipitate gold,Cross-company collision; unrelated junior gold mining company.,0.83
PRG,NYSE,prg corporation public,Unrelated entity; no evidence of connection to PROG Holdings.,0.83
PRG,NYSE,prl global,Unrelated company; no lexical or structural overlap with PROG Holdings.,0.83
PRG,NYSE,procter & gamble,"Cross-company collision; Procter & Gamble trades as PG, not PRG. Major misattribution.",0.83
PRIM,NYSE,prime energy pe,Unrelated to Primoris Services; 'prime energy' and 'pe' suffix suggest a different company.,0.85
PRIM,NYSE,prime media,Prime Media is an unrelated Australian media company; no connection to Primoris Services.,0.85
PRIM,NYSE,primorus investments,Primorus Investments is a separate UK-listed investment company; unrelated to Primoris Services.,0.85
PRIM,NYSE,royal prima pt,No connection to Primoris Services Corporation; appears to be an Indonesian entity.,0.85
PRO,LSE,promimic,Yahoo alias verification marked `promimic` as likely_other_entity.,
PRO,LSE,prophecy international,Yahoo alias verification marked `prophecy international` as likely_other_entity.,
PRTC,NASDAQ,priortech,Unrelated tech company; no connection to PureTech Health.,0.82
PRTC,NASDAQ,ptc therapeutics,PTC Therapeutics is a separate NASDAQ-listed biotech (ticker PTCT); different company.,0.82
PRU,NYSE,perseus mining,Completely unrelated Australian gold miner (ASX:PRU); belongs to a different PRU-ticker instrument.,0.85
PRX,AMS,prodigy gold nl,Prodigy Gold NL is an Australian mining company; unrelated to Prosus N.V.,0.88
PSI,NYSE ARCA,pason systems,Pason Systems is a Canadian oilfield services company; unrelated to this Invesco semiconductor ETF.,0.82
PSI,NYSE ARCA,petrovienam securities,Misspelled 'Petrovietnam Securities'; a Vietnamese entity entirely unrelated to this US ETF.,0.82
PSK,NYSE ARCA,prairiesky royalty,PrairieSky Royalty trades as PSK on TSX (Canada); it is a different company from this US ETF. Cross-exchange ticker collision.,0.87
PTL,NYSE ARCA,polyplex (thailand) public,Yahoo alias verification marked `polyplex (thailand) public` as likely_other_entity.,
PTL,NYSE ARCA,prestal,Yahoo alias verification marked `prestal` as likely_other_entity.,
PZA,NYSE ARCA,invesco bnp paribas cleantech,Does not match 'Invesco National AMT-Free Municipal Bond ETF'; appears to be an alias for a different Invesco product.,0.8
PZA,NYSE ARCA,pizza pizza royalty,"Pizza Pizza Royalty Corp trades as PZA on the TSX, not NYSE ARCA. This alias belongs to a different company on a different exchange.",0.8
RAD,ASX,RADX,Collision alias shared with RAD and RDPTF on other exchanges; weak lexical overlap with 'Radiopharm Theranostics'.,0.85
RARE,NASDAQ,tactical resources,Unrelated to Ultragenyx; collision alias from a different company.,0.82
RBTX,LSE,vicarious surgical,"Vicarious Surgical is an individual robotics company (ticker RBOT), not this iShares UCITS ETF. Collision alias with no relation to the fund.",0.85
RC,NYSE,RCC,Yahoo alias verification marked `RCC` as likely_other_entity.,
RCH,LSE,richelieu hardware,"Richelieu Hardware Ltd trades as RCH on the TSX (Canada), not LSE. This alias belongs to a different company on a different exchange.",0.82
RCRS,XETRA,cyberark,"CyberArk is an individual stock (CYBR on NASDAQ); it is a holding within the ETF's universe, not an alias for the fund itself. Collision alias across CYBP, CYBR, and RCRS.",0.83
RLC,ASX,robinsons land,Robinsons Land Corporation is a Philippine real estate company listed on the PSE; entirely different issuer from Reedy Lagoon Corporation.,0.8
ROS,VSE,roscan gold,Roscan Gold is a Canadian/West African gold exploration company; entirely unrelated to Rosenbauer International AG.,0.8
RPL,ASX,roshan packages,Roshan Packages is a Pakistani packaging company; no connection to Regal Partners.,0.82
RPL,ASX,upm kymmene,UPM-Kymmene is a Finnish forestry company; cross-collision with no relation to Regal Partners.,0.82
RR,NASDAQ,rolls-royce,Yahoo alias verification marked `rolls-royce` as likely_other_entity.,
RW,NYSE,renoworks software,Current RW row is an ETF; Renoworks Software is an unrelated issuer alias contamination.,0.95
SAE,TSXV,shufersal,"Shufersal Ltd is an Israeli supermarket chain listed on TASE. It has no relationship to Sable Resources Ltd (Canadian mining company, TSXV).",0.8
SAFE,NYSE,safe-t,Yahoo alias verification marked `safe-t` as likely_other_entity.,
SAFE,NYSE,safetech innovations,Yahoo alias verification marked `safetech innovations` as likely_other_entity.,
SAM,NYSE,sam adams,"Brand/product name, not a company or listing identifier. Should not be used as a ticker alias.",0.82
SAM,NYSE,samchai steel industries public,"Thai steel company; shares SAM ticker on SET, not NYSE. Unrelated issuer.",0.82
SAM,NYSE,starcore international mines,Canadian mining company; likely shares SAM ticker on TSX. Unrelated issuer.,0.82
SCC,NYSE ARCA,siam cement public,Yahoo alias verification marked `siam cement public` as likely_other_entity.,
SCC,NYSE ARCA,space com,Yahoo alias verification marked `space com` as likely_other_entity.,
SCHP,NYSE ARCA,SHLRF,"OTC ticker for Schindler Holding; different company entirely, not related to Schwab TIPS ETF.",0.85
SCHP,NYSE ARCA,schindler,Same Swiss company as 'schindler ps'; unrelated to SCHP.,0.85
SCHP,NYSE ARCA,schindler ps,Schindler Holding PS is a Swiss elevator company listed on SIX; unrelated to SCHP.,0.85
SCHP,NYSE ARCA,seche environnem,Séché Environnement is a French waste management company; unrelated to SCHP.,0.85
SCP,LSE,scalare partners,Yahoo alias verification marked `scalare partners` as likely_other_entity.,
SCP,LSE,scope fluidics,Yahoo alias verification marked `scope fluidics` as likely_other_entity.,
SCP,LSE,southern concrete pile,Yahoo alias verification marked `southern concrete pile` as likely_other_entity.,
SCT,LSE,toyota caetano,Yahoo alias verification marked `toyota caetano` as likely_other_entity.,
SEA,NYSE ARCA,spear reit,Yahoo alias verification marked `spear reit` as likely_other_entity.,
SHG,NYSE,sea harvest,South African seafood company; unrelated to Shinhan Financial Group.,0.8
SHG,NYSE,singular health,Unrelated company; no connection to Shinhan.,0.8
SHG,NYSE,starhedge,Unrelated entity; no lexical overlap with Shinhan.,0.8
SLM,NASDAQ,sanlam,Sanlam is a South African financial services company unrelated to SLM Corp.,0.8
SLM,NASDAQ,solis minerals,"Solis Minerals is an Australian mining company that trades as SLM on ASX, not related to SLM Corp.",0.8
SNAG,NASDAQ,silver north resources,Yahoo alias verification marked `silver north resources` as likely_other_entity.,
SNT,NASDAQ,santam,Yahoo alias verification marked `santam` as likely_other_entity.,
SNT,NASDAQ,synektik,Yahoo alias verification marked `synektik` as likely_other_entity.,
SNT,NASDAQ,syntara,Yahoo alias verification marked `syntara` as likely_other_entity.,
SNX,NYSE,premium snacks nordic,Unrelated product/brand name with no connection to Synnex/TD SYNNEX.,0.82
SNX,NYSE,sierra nevada gold,Unrelated company name; no lexical or structural link to Synnex.,0.82
SNX,NYSE,sunex,Distinct company name; weak overlap with 'Synnex' is coincidental phonetic similarity only.,0.82
SNX,NYSE,synectics,Synectics PLC is a separate UK-listed surveillance company; collision risk.,0.82
SO,NYSE,SOJC,"Separate preferred share instrument (Southern Company Series 2020C), not an alias for the common stock SO.",0.88
SO,NYSE,SOJD,"Separate preferred share instrument (Southern Company Series 2020D), not an alias for the common stock SO.",0.88
SO,NYSE,siamrajathanee public,Thai company; unrelated to Southern Company.,0.88
SOBA,XETRA,TBC,Yahoo alias verification marked `TBC` as likely_other_entity.,
SOBA,XETRA,tbc,Yahoo alias verification marked `tbc` as likely_other_entity.,
SPC,NASDAQ,saha pathanapibul public,Yahoo alias verification marked `saha pathanapibul public` as likely_other_entity.,
SPC,NASDAQ,staige one,Yahoo alias verification marked `staige one` as likely_other_entity.,
SPG,NYSE,siam pan group,Thai conglomerate; unrelated to Simon Property Group.,0.82
SPG,NYSE,sp group,Too generic; refers to Singapore's power grid operator and other entities.,0.82
SPG,NYSE,spc global,Unrelated company; no connection to Simon Property Group.,0.82
SPMC,NYSE,south pacific metals,Distinct company name with no connection to Sound Point Meridian Capital; collision risk.,0.8
SPSC,NASDAQ,spectra systems,"Spectra Systems is a UK-listed security-features company (SPSY on AIM); distinct issuer, collision risk.",0.85
SQ,SET,square inc,Yahoo alias verification marked `square inc` as likely_other_entity.,
SRB,LSE,starbucks,"Starbucks Corporation (SBUX) is an entirely different US consumer company; obvious collision, no relation to Serabi Gold.",0.9
SRE,NYSE,sirius real estate,"Sirius Real Estate Ltd (SRE on LSE/JSE) is a Guernsey-domiciled property company; the ISIN GG00B1W3VF54 appears to belong to Sirius Real Estate, not Sempra. Keeping this alias on a Sempra entry causes serious cross-entity confusion.",0.85
STB,LSE,storebrand a,Storebrand is a Norwegian financial company unrelated to Secure Trust Bank PLC; clear cross-company collision,0.9
STG,NYSE,stg international,Yahoo alias verification marked `stg international` as likely_other_entity.,
STG,NYSE,straker,Yahoo alias verification marked `straker` as likely_other_entity.,
STG,NYSE,strip tinning,Yahoo alias verification marked `strip tinning` as likely_other_entity.,
STI,NASDAQ,stonehenge inter public,Yahoo alias verification marked `stonehenge inter public` as likely_other_entity.,
STLA,NYSE,chrysler,"Defunct/absorbed brand; product name, not the issuer.",0.87
STLA,NYSE,jeep,"Product brand owned by Stellantis, not the issuer name; too generic as a standalone alias.",0.87
STLA,NYSE,ram trucks,Product brand; not an identifier for the Stellantis issuer entity.,0.87
STP,Euronext,stalprodukt,Yahoo alias verification marked `stalprodukt` as likely_other_entity.,
STP,Euronext,step one clothing,Yahoo alias verification marked `step one clothing` as likely_other_entity.,
STX,NASDAQ,shield therapeutics,Cross-company collision; Shield Therapeutics is a UK pharma company unrelated to Seagate Technology.,0.85
STX,NASDAQ,stalexport autostrady,Unrelated Polish toll road company; no lexical overlap with Seagate Technology.,0.85
STX,NASDAQ,stone one public,Unrelated company; no overlap with Seagate Technology.,0.85
STX,NASDAQ,strike energy,Cross-company collision; Strike Energy is an Australian energy company unrelated to Seagate.,0.85
SU,NYSE,schneider electric s.e,Schneider Electric is a French company (Euronext: SU/SE); unrelated to Suncor Energy and flagged as cross-company collision,0.8
SUS,LSE,surgical science sweden,Surgical Science Sweden is a Swedish medtech company listed on Nasdaq Stockholm; unrelated to S&U plc and flagged as cross-company collision,0.9
SVT,LSE,saigon viendong technology jsc,"Vietnamese technology company, no relation to Severn Trent PLC.",0.88
SVT,LSE,servotronics,Servotronics is a separate US-listed company; not an alias for Severn Trent.,0.88
SVT,LSE,sun vending technology,Unrelated technology company; no lexical or business connection to Severn Trent.,0.88
T,NYSE,TBC,Yahoo alias verification marked `TBC` as likely_other_entity.,
T,NYSE,tbc,Yahoo alias verification marked `tbc` as likely_other_entity.,
T,NYSE,telus,Telus Corporation is a Canadian telecom company entirely unrelated to AT&T Inc; the CA ISIN likely belongs to Telus.,0.85
TBLL,NYSE ARCA,tombill mines,Tombill Mines is an unrelated Canadian mining company. It has no lexical or structural connection to the Invesco Short Term Treasury ETF.,0.9
TECH,NASDAQ,cirtek holdings philippines,Philippine electronics company; unrelated to Bio-Techne Corp.,0.85
TECH,NASDAQ,indosterling technomedia,Indonesian media company; unrelated to Bio-Techne Corp.,0.85
TECH,NASDAQ,techstep a,Norwegian IT services company; unrelated to Bio-Techne Corp.,0.85
TEK,NYSE,tekcapital,Current TEK row is an ETF; Tekcapital is an unrelated issuer alias contamination.,0.95
TER,NASDAQ,terracom,TerraComm/Terracom is a distinct Australian telecom company; no connection to Teradyne.,0.85
TER,NASDAQ,terrascend,Cross-company collision; TerrAscend is a distinct cannabis company listed separately.,0.85
TOT,NYSE,360 capital reit,Current TOT row is an ETF; 360 Capital REIT is an unrelated issuer alias contamination.,0.96
TOT,NYSE,total energy services,Current TOT row is an ETF; Total Energy Services is an unrelated issuer alias contamination.,0.96
TOT,NYSE,transimex transportation jsc,Current TOT row is an ETF; Transimex Transportation JSC is an unrelated issuer alias contamination.,0.96
TRC,NYSE,revel collective,Unrelated entity; no connection to Tejon Ranch Co.,0.85
TRC,NYSE,tay ninh rubber jsc,Vietnamese rubber company; unrelated to Tejon Ranch Co.,0.85
TRC,NYSE,trc construction public,Appears to reference a Thai construction company; unrelated to Tejon Ranch Co.,0.85
TRI,NASDAQ,trifast,Yahoo alias verification marked `trifast` as likely_other_entity.,
TRI,NASDAQ,triton development,Yahoo alias verification marked `triton development` as likely_other_entity.,
TRI,NASDAQ,trivarx,Yahoo alias verification marked `trivarx` as likely_other_entity.,
TRU,NYSE,trufin,Yahoo alias verification marked `trufin` as likely_other_entity.,
TRU,NYSE,truscreen,Yahoo alias verification marked `truscreen` as likely_other_entity.,
TRU,NYSE,truworths international,Yahoo alias verification marked `truworths international` as likely_other_entity.,
TTWO,NASDAQ,2k games,"2K Games is a subsidiary/product brand of Take-Two, not the listed issuer name.",0.92
TTWO,NASDAQ,gta,"GTA (Grand Theft Auto) is a product franchise, not the company or listing identifier.",0.92
TTWO,NASDAQ,rockstar games,"Rockstar Games is a subsidiary/product brand of Take-Two, not the listed issuer name.",0.92
TUB,Euronext,tubacex,Tubacex is an unrelated Spanish tubular products manufacturer listed on BME under TUBX; cross-company collision.,0.82
UCM,ASX,buzzi,Buzzi (Buzzi Unicem) is an unrelated Italian cement company; no lexical or structural link to Uscom Ltd,0.8
UFO,NASDAQ,alien metals,Alien Metals is an unrelated Australian mining company; no connection to Procure Space ETF,0.82
UNC,TSX,ucb sa,UCB SA is an unrelated Belgian biopharmaceutical company; no lexical or structural link to United Corporations Limited,0.82
UNIT,NASDAQ,nusantara inti corpora,Indonesian company; unrelated to Uniti Group Inc.,0.85
UNIT,NASDAQ,united housing & development,Egyptian real estate company; unrelated to Uniti Group Inc.,0.85
UNIT,NASDAQ,unitronics,Unitronics is a separate Israeli-listed company; not an alias for Uniti Group.,0.85
VCV,NYSE,vatic ventures,Vatic Ventures is an unrelated company with no lexical or structural connection to the Invesco California Value Muni trust,0.82
VIP,LSE,vietnam petroleum transport jsc,Vietnam Petroleum Transport JSC is a Vietnamese company with no connection to Value & Income Trust.,0.85
VIP,LSE,vip entertainment technologies,VIP Entertainment Technologies is a separate company that collides with this ticker; no relation to the UK investment trust.,0.85
VIS,NYSE ARCA,viscofan,Viscofan is a Spanish food-casing manufacturer (BME: VIS); unrelated to the Vanguard ETF.,0.85
VIS,NYSE ARCA,visionstate,Visionstate is a Canadian tech company (TSXV: VIS); unrelated to the Vanguard ETF.,0.85
VIS,NYSE ARCA,visual international,Weak overlap with fund name and no evidence of connection to Vanguard Industrials ETF.,0.85
VMC,NYSE,venus metals corporation,Venus Metals Corporation is a separate ASX-listed company (VMC on ASX); unrelated to Vulcan Materials.,0.87
VMC,NYSE,victorias milling,Philippine milling company; unrelated to Vulcan Materials Company.,0.87
VMC,NYSE,vimeco jsc,Vietnamese construction company; unrelated to Vulcan Materials Company.,0.87
VRDN,NASDAQ,viridien,"Viridien is the rebranded CGG SA, a French seismic data company — entirely unrelated to Viridian Therapeutics.",0.85
VZLA,NYSE MKT,wisdomtree physical platinum,WisdomTree Physical Platinum is an unrelated ETP product with no connection to Vizsla Resources/Silver.,0.8
WFC,NYSE,wall financial,Wall Financial is an unrelated Canadian real estate company with no connection to Wells Fargo.,0.85
WG,LSE,westward gold,"Westward Gold is an unrelated Canadian gold exploration company, no connection to John Wood Group PLC.",0.9
WULF,NASDAQ,bitcoin mining,"Generic industry descriptor shared across many companies (CAN, RIOT, WULF); not a valid identifier alias.",0.82
XMWJ,XETRA,facebook,Former name of Meta Platforms Inc; completely unrelated to this WisdomTree product.,0.85
XMWJ,XETRA,instagram,Meta Platforms product; no connection to WisdomTree Industrial Metals Enhanced EUR.,0.85
XMWJ,XETRA,meta,Refers to Meta Platforms Inc; entirely unrelated to a WisdomTree industrial metals ETP.,0.85
XMWJ,XETRA,zuck,Informal celebrity alias for Mark Zuckerberg/Meta; no relevance to this ETF.,0.85
XMWJ,XETRA,zuckerberg,Celebrity/executive name for Meta Platforms; entirely wrong for this ETF.,0.85
XYZ,NYSE,rsxyz public,Yahoo alias verification marked `rsxyz public` as likely_other_entity.,
YUM,NYSE,kfc,"KFC is a subsidiary brand/franchise of Yum! Brands, not the listed issuer name; qualifies as a product/brand alias.",0.92
YUM,NYSE,pizza hut,Pizza Hut is a subsidiary brand/franchise of Yum! Brands; qualifies as a product/brand alias.,0.92
YUM,NYSE,taco bell,Taco Bell is a subsidiary brand/franchise of Yum! Brands; qualifies as a product/brand alias.,0.92
ZEN,LSE,immo-zenobe gramme,Yahoo alias verification marked `immo-zenobe gramme` as likely_other_entity.,
ZEN,LSE,zentek,Yahoo alias verification marked `zentek` as likely_other_entity.,
0VGV,LSE,srm entertainment,Residual audit cleanup: alias belongs to a different issuer and creates a direct cross-company collision with SEA.,0.9
AMG,NYSE,MGR,Residual audit cleanup: external symbol-style alias collides with other AMG-related listings and is not needed as a name alias.,0.9
CNTB,NASDAQ,pt century textile industry,Residual audit cleanup: alias belongs to an unrelated Indonesian textile issuer and contaminates the biotech listing.,0.95
CNTX,NASDAQ,pt century textile industry,Residual audit cleanup: alias belongs to an unrelated Indonesian textile issuer and contaminates the therapeutics listing.,0.95
CYBP,LSE,cyberark,Residual audit cleanup: product/constituent alias does not identify the ETF share class itself and creates a collision with CYBR.,0.9
CYBR,LSE,cyberark,Residual audit cleanup: product/constituent alias does not identify the ETF share class itself and creates a collision with CYBP.,0.9
DTE,NYSE,DTB,Residual audit cleanup: unrelated ticker-style alias with weak issuer overlap.,0.9
DTE,NYSE,DTG,Residual audit cleanup: unrelated ticker-style alias with weak issuer overlap.,0.9
DTE,NYSE,DTW,Residual audit cleanup: unrelated ticker-style alias with weak issuer overlap.,0.9
FG,NYSE,FGSN,Residual audit cleanup: alias points to a different F&G instrument, not the common NYSE line.,0.9
FGN,NYSE,FGN,Residual audit cleanup: redundant ticker-self alias should not be stored as a name alias.,0.85
FGN,NYSE,FGSN,Residual audit cleanup: alias points to a different F&G instrument and creates a collision with FG.,0.9
GAP,NYSE,gale pacific,Residual audit cleanup: alias belongs to an unrelated Australian issuer and contaminates Gap Inc.,0.95
INTL,BATS,intelicanna,Residual audit cleanup: alias belongs to an unrelated cannabis issuer and contaminates the ETF row.,0.95
LHC,HOSE,leo holdings iii,Residual audit cleanup: alias belongs to an unrelated SPAC/holding entity and contaminates the Vietnam issuer.,0.95
LTGHF,OTC,leo holdings iii,Residual audit cleanup: alias belongs to an unrelated SPAC/holding entity and contaminates the healthcare issuer.,0.95
MGRD,NYSE,MGR,Residual audit cleanup: external symbol-style alias collides with other AMG-related listings and is not needed as a name alias.,0.9
MGRE,NYSE,MGR,Residual audit cleanup: external symbol-style alias collides with other AMG-related listings and is not needed as a name alias.,0.9
SEA,NYSE ARCA,srm entertainment,Residual audit cleanup: alias belongs to a different issuer and creates a direct cross-company collision with 0VGV.,0.9
SOBA,XETRA,TBB,Residual audit cleanup: unrelated ticker-style alias carried over from another AT&T line.,0.9
T,NYSE,TBB,Residual audit cleanup: unrelated ticker-style alias carried over from another AT&T line.,0.9
TEFN,BMV,intelicanna,Residual audit cleanup: alias belongs to an unrelated cannabis issuer and contaminates the Telefonica line.,0.95
AMG,NYSE,amg advanced metallurgical group,Residual metadata cleanup: alias belongs to the unrelated Amsterdam-listed metallurgical issuer rather than Affiliated Managers Group.,0.95
AMG,NYSE,atlas metals,Residual metadata cleanup: alias belongs to an unrelated issuer and contaminates the Affiliated Managers Group listing.,0.9
FG,NYSE,fasadgruppen group,Residual metadata cleanup: alias belongs to the unrelated Swedish construction group rather than F&G Annuities & Life.,0.95
SEA,NYSE ARCA,sea forest,Residual metadata cleanup: alias belongs to an unrelated issuer and contaminates the cargo ETF listing.,0.9
